=== 実験 005: システム同定用 multi-sine 励振信号 ===
モーター: AK45-36 (ID: 1)
基準周波数: 4.0 Hz, 基準振幅: 0.9 Nm (瞬時最大: 1.710 Nm)
記録時間: 10.0 秒, サンプリング周期: 0.001 秒 (1000 Hz)
安全上限: 位置=3.14 rad, 速度=6.0 rad/s, トルク=10.0 Nm
ログ保存先: /home/pi/Research/y25m060_20260212/TMotorCANControl/my_ak45/Mujoco/data/raw/exp005_sysid_excitation_1786560014
==================================================
デバイスを初期化: AK45-36  ID: 1
Initializing CAN Manager
Connected on: socketcan channel 'can0'
デバイス制御を開始: AK45-36  ID: 1
位置ゼロ化を実行中...
ゼロ化完了
励振開始...
経過時間: 7.50 秒 | 指令トルク: 0.054 Nm | 実測トルク: -0.309 Nm | 位置: 0.767 rad | 速度: -2.908 rad/s
経過時間: 7.60 秒 | 指令トルク: 0.878 Nm | 実測トルク: 0.807 Nm | 位置: 0.747 rad | 速度: 2.577 rad/s
経過時間: 7.70 秒 | 指令トルク: -1.497 Nm | 実測トルク: -1.305 Nm | 位置: 0.905 rad | 速度: -1.030 rad/s
経過時間: 7.80 秒 | 指令トルク: 0.968 Nm | 実測トルク: 0.484 Nm | 位置: 0.698 rad | 速度: -0.936 rad/s
経過時間: 7.90 秒 | 指令トルク: -0.572 Nm | 実測トルク: -0.318 Nm | 位置: 0.880 rad | 速度: 2.366 rad/s
経過時間: 8.00 秒 | 指令トルク: -0.747 Nm | 実測トルク: -0.742 Nm | 位置: 0.801 rad | 速度: -2.513 rad/s
経過時間: 8.10 秒 | 指令トルク: 0.720 Nm | 実測トルク: 0.622 Nm | 位置: 0.767 rad | 速度: 1.974 rad/s
経過時間: 8.20 秒 | 指令トルク: -1.208 Nm | 実測トルク: -0.844 Nm | 位置: 0.906 rad | 速度: -0.637 rad/s
経過時間: 8.30 秒 | 指令トルク: 0.251 Nm | 実測トルク: 0.180 Nm | 位置: 0.710 rad | 速度: -0.590 rad/s
経過時間: 8.40 秒 | 指令トルク: -0.216 Nm | 実測トルク: -0.005 Nm | 位置: 0.884 rad | 速度: 1.977 rad/s
経過時間: 8.50 秒 | 指令トルク: -0.497 Nm | 実測トルク: -0.364 Nm | 位置: 0.796 rad | 速度: -2.182 rad/s
経過時間: 8.60 秒 | 指令トルク: 0.288 Nm | 実測トルク: 0.327 Nm | 位置: 0.761 rad | 速度: 1.874 rad/s
経過時間: 8.70 秒 | 指令トルク: -0.424 Nm | 実測トルク: -0.207 Nm | 位置: 0.893 rad | 速度: -0.840 rad/s
経過時間: 8.80 秒 | 指令トルク: 0.379 Nm | 実測トルク: 0.466 Nm | 位置: 0.720 rad | 速度: 0.089 rad/s
経過時間: 8.90 秒 | 指令トルク: -0.303 Nm | 実測トルク: -0.217 Nm | 位置: 0.899 rad | 速度: 1.704 rad/s
経過時間: 9.00 秒 | 指令トルク: 0.456 Nm | 実測トルク: 0.447 Nm | 位置: 0.801 rad | 速度: -2.337 rad/s
経過時間: 9.10 秒 | 指令トルク: 0.182 Nm | 実測トルク: 0.281 Nm | 位置: 0.781 rad | 速度: 2.475 rad/s
経過時間: 9.20 秒 | 指令トルク: -0.236 Nm | 実測トルク: -0.300 Nm | 位置: 0.919 rad | 速度: -1.434 rad/s
経過時間: 9.30 秒 | 指令トルク: 1.173 Nm | 実測トルク: 0.991 Nm | 位置: 0.733 rad | 速度: 0.078 rad/s
経過時間: 9.40 秒 | 指令トルク: -0.713 Nm | 実測トルク: -0.604 Nm | 位置: 0.910 rad | 速度: 1.593 rad/s
経過時間: 9.50 秒 | 指令トルク: 0.786 Nm | 実測トルク: 0.447 Nm | 位置: 0.810 rad | 速度: -2.958 rad/s
経過時間: 9.60 秒 | 指令トルク: 0.547 Nm | 実測トルク: 0.539 Nm | 位置: 0.795 rad | 速度: 2.700 rad/s
経過時間: 9.70 秒 | 指令トルク: -0.907 Nm | 実測トルク: -0.982 Nm | 位置: 0.941 rad | 速度: -1.727 rad/s
経過時間: 9.80 秒 | 指令トルク: 1.528 Nm | 実測トルク: 1.148 Nm | 位置: 0.735 rad | 速度: -0.500 rad/s
経過時間: 9.90 秒 | 指令トルク: -0.878 Nm | 実測トルク: -0.678 Nm | 位置: 0.920 rad | 速度: 2.105 rad/s
経過時間: 10.00 秒 | 指令トルク: 0.033 Nm | 実測トルク: -0.309 Nm | 位置: 0.831 rad | 速度: -3.134 rad/s
実行時間: 10.00 秒
サンプル数: 実測 10000 / 期待値 10000
デバイス制御を終了: AK45-36  ID: 1
ログ保存完了: /home/pi/Research/y25m060_20260212/TMotorCANControl/my_ak45/Mujoco/data/raw/exp005_sysid_excitation_1786560014
実験 005 完了
